BasketballPass__QP_32_nF_16_MSizeL1_8192_AssL1_1_MSizeLL_4194304_AssLL_1_Word_32	Ir	Dr	Dw	I1mr	D1mr	D1mw	ILmr	DLmr	DLmw
TComRdCost::xGetSAD4	2,068,166,454	649,800,807	118,504,961	671,090	17,907,372	1,583,035	1,631	103,525	193
partialButterfly16	2,026,989,378	1,091,912,304	183,115,728	1,777,157	19,537,722	14,178,592	5,811	2,094	6,565
TComInterpolationFilter::filterVer	2,018,302,938	1,040,082,824	234,010,686	3,374,043	14,433,287	9,597,355	14,359	32,625	5,401
partialButterfly32	1,853,740,272	1,062,195,584	111,427,680	677,610	23,000,273	10,960,306	4,915	3,652	34,109
TEncSbac::codeCoeffNxN	1,652,111,981	591,987,058	435,020,692	11,357,166	20,629,561	7,133,954	6,034	1,374	3,711
partialButterfly8	1,576,107,522	799,633,824	207,222,180	7,618,119	10,239,148	18,097,870	7,728	2,357	2,905
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memset-sse2.S:__memset_chk_sse2	1,466,344,028	310,799,112	425,749,712	2,583,029	3,544,373	183,001,277	354	1,122	95,672
partialButterflyInverse32	1,228,466,556	675,759,096	88,543,080	486,321	8,507,949	3,589,990	3,850	2,752	0
partialButterfly4	1,182,997,384	545,663,000	209,534,592	1,331,146	5,666,914	12,894,430	3,408	359	221
TEncSearch::xPatternRefinement	1,152,815,007	442,261,632	264,609,640	1,457,960	64,706,385	40,778,004	7,097	2,517	0
__x86.get_pc_thunk.bx	1,147,356,116	1,147,356,116	0	8	0	0	2	0	0
TEncSearch::xTZSearchHelp	1,129,709,232	477,409,732	354,550,622	2,963,742	42,461,913	2,757,281	6,124	1,755	23
TComPrediction::xPredInterBlk	1,091,301,365	450,728,391	206,493,486	3,310,276	38,039,731	8,956,461	16,440	43,454	1,080
TEncSbac::estSignificantCoefficientsBit	1,070,955,144	415,832,472	214,401,040	2,109,457	10,009,691	16,935,686	7,513	1,264	1,973
TEncSbac::estLastSignificantPositionBit	1,061,764,068	426,484,794	173,986,896	5,861,955	16,965,604	12,123,658	6,014	752	1,924
TEncBinCABACCounter::encodeBin	1,011,767,166	487,147,154	299,782,864	556,791	44,407,079	5,273,334	412	2,863	1,026
TComTrQuant::xT	998,127,457	242,101,121	197,295,067	4,415,726	34,653,404	26,329,766	2,629	193	21,874
void	986,162,215	559,696,303	41,932,161	564,322	9,868,298	2,963,529	754	101,328	1,504
TComPrediction::xPredIntraAng	920,386,390	286,569,138	122,473,857	2,125,199	5,746,269	6,692,545	3,770	28,669	4,805
TEncSearch::xPatternSearch	907,662,534	357,976,706	316,355,952	626,766	41,864,480	42,973,694	5,051	3,214	0
TComRdCost::xGetSSE4	849,087,504	327,717,984	188,686,112	4,349,747	7,401,660	3,976,157	3,099	123	96
TEncSbac::estSignificantMapBit	724,562,860	268,301,863	127,956,852	6,816,028	19,265,675	15,677,838	4,439	614	4,294
TComYuv::removeHighFreq	717,503,282	207,783,874	88,866,162	875,268	13,641,962	24,546	7,779	0	0
TComTrQuant::xDeQuant	695,383,102	263,499,405	38,474,626	1,842,354	3,560,723	4,300,303	1,139	0	0
TEncEntropy::countNonZeroCoeffs	676,136,581	78,273,981	1,770,578	150,869	7,606,291	0	51	9,667	0
partialButterflyInverse16	675,594,996	393,905,716	56,414,402	1,276,177	6,816,106	2,916,471	4,153	3,173	17
TComRdCost::xGetSAD24	672,212,038	176,668,451	6,020,429	8,052	4,414,488	118,018	574	9,717	107
TComTrQuant::transformNxN	670,578,236	324,341,613	256,948,611	8,590,534	31,187,292	4,512,043	7,065	139	0
TComYuv::addClip	667,731,465	179,578,711	62,519,821	1,828,774	6,611,894	3,320,196	10,007	4,639	54,004
TComYuv::addAvg	655,053,200	250,259,036	55,781,346	1,132,869	8,004,275	3,576,089	11,239	50	8,536
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/strcat.S:0x0012694b	635,357,430	635,357,430	0	381,455	0	0	1,385	0	0
TEncSearch::xIntraCodingTUBlock	624,697,071	232,910,133	126,781,186	7,783,522	15,608,601	8,585,926	3,674	2,613	95,515
TComRdCost::xGetSSE16	590,155,827	255,827,343	238,043,913	1,711,073	8,119,347	1,411,373	3,632	308	600
TComRdCost::xGetSSE8	588,035,228	248,520,712	212,318,876	4,124,542	6,723,490	1,666,823	4,980	162	316
TComYuv::copyPartToPartComponent	580,191,719	206,204,466	118,700,966	2,155,528	4,774,139	400,789	10,203	1,423	223
getTUEntropyCodingParameters	574,114,060	246,404,954	141,202,109	4,303,314	26,803,931	16,839,120	8,113	1,472	2,812
TEncSearch::xTZSearch	571,593,344	208,796,930	237,048,875	16,003,633	21,514,367	5,808,436	46,632	439	0
